0.000000 25.000000 18.000000 120.000000
0.010000 23.212534 -4.716980 117.598457
0.020000 19.610960 -23.427262 111.142471
0.030000 14.826625 -36.789636 103.147265
0.040000 9.485361 -44.880309 95.862015
0.050000 4.105994 -48.489221 90.643345
0.060000 -0.924603 -48.490300 87.903139
0.070000 -5.330761 -45.562991 87.333602
0.080000 -8.918309 -40.212571 88.187362
0.090000 -11.557337 -32.922795 89.540826
0.100000 -13.181157 -24.289702 90.533740
0.110000 -13.793242 -15.048333 90.563743
0.120000 -13.470191 -5.984202 89.391257
0.130000 -12.352674 2.210155 87.125973
0.140000 -10.624347 9.051643 84.114898
0.150000 -8.485270 14.306136 80.791544
0.160000 -6.127895 17.953727 77.547097
0.170000 -3.720813 20.116054 74.655675
0.180000 -1.401167 20.984027 72.253652
0.190000 0.726307 20.767525 70.355750
0.200000 2.586630 19.670483 68.888651
0.210000 4.130760 17.884293 67.728537
0.220000 5.332004 15.589718 66.735098
0.230000 6.183015 12.959513 65.778452
0.240000 6.693192 10.157687 64.757404
0.250000 6.886053 7.334861 63.608586
0.260000 6.796291 4.621508 62.307203
0.270000 6.466480 2.121686 60.861195
0.280000 5.943603 -0.090633 59.301508
0.290000 5.275736 -1.971729 57.671238
0.300000 4.509190 -3.505083 56.015955
0.310000 3.686332 -4.696197 54.376547
0.320000 2.844150 -5.566589 52.785006
0.330000 2.013528 -6.148029 51.262852
0.340000 1.219092 -6.477707 49.821510
0.350000 0.479476 -6.594578 48.463907
0.360000 -0.192144 -6.536849 47.186594
0.370000 -0.787380 -6.340410 45.981947
0.380000 -1.301910 -6.037956 44.840117
0.390000 -1.734759 -5.658566 43.750603
0.400000 -2.087634 -5.227582 42.703389
0.410000 -2.364309 -4.766647 41.689677
0.420000 -2.570089 -4.293851 40.702270
0.430000 -2.711328 -3.823935 39.735685
0.440000 -2.795030 -3.368539 38.786077
0.450000 -2.828499 -2.936487 37.851032
0.460000 -2.819061 -2.534092 36.929304
0.470000 -2.773837 -2.165483 36.020534
0.480000 -2.699571 -1.832934 35.124980
0.490000 -2.602506 -1.537192 34.243279
0.500000 -2.488298 -1.277789 33.376265
0.510000 -2.361978 -1.053328 32.524818
0.520000 -2.227926 -0.861742 31.689766
0.530000 -2.089888 -0.700518 30.871821
0.540000 -1.951001 -0.566879 30.071545
0.550000 -1.813830 -0.457942 29.289338
0.560000 -1.680425 -0.370835 28.525445
0.570000 -1.552369 -0.302785 27.779962
